sample_id,full_recall_subset,draft_event_id,draft_event_type,draft_start_time,draft_end_time,draft_source_segment_ids,reviewer_a_present,reviewer_a_event_type,reviewer_a_start_time,reviewer_a_end_time,reviewer_a_notes,reviewer_b_selected,reviewer_b_present,reviewer_b_notes
synthetic-vi-regularization,true,vi-topic-dropout,TOPIC_CHANGE,180,240,3,,,,,,,,
synthetic-vi-regularization,true,vi-question-dropout,QUESTION,300,360,5,,,,,,,,
synthetic-vi-regularization,true,vi-answer-dropout,ANSWER,360,420,6,,,,,,,,
synthetic-vi-regularization,true,vi-example-dropout,EXAMPLE,480,540,8,,,,,,,,
synthetic-vi-regularization,true,vi-topic-l2,TOPIC_CHANGE,540,600,9,,,,,,,,
synthetic-vi-regularization,true,vi-important-selection,IMPORTANT,720,780,12,,,,,,,,
synthetic-en-transactions,true,en-topic-anomalies,TOPIC_CHANGE,240,300,4,,,,,,,,
synthetic-en-transactions,true,en-question-dirty-read,QUESTION,360,420,6,,,,,,,,
synthetic-en-transactions,true,en-answer-dirty-read,ANSWER,420,480,7,,,,,,,,
synthetic-en-transactions,true,en-example-inventory,EXAMPLE,480,540,8,,,,,,,,
synthetic-en-transactions,true,en-topic-serializable,TOPIC_CHANGE,600,660,10,true,TOPIC_CHANGE,600,660,AI-assisted missing-event suggestion: canonical segment 10 confirms this TOPIC_CHANGE; no corresponding model prediction.,,,
synthetic-en-transactions,true,en-important-isolation,IMPORTANT,720,780,12,,,,,,,,
synthetic-codeswitch-accessibility,false,cs-topic-keyboard,TOPIC_CHANGE,180,240,3,,,,,,,,
synthetic-codeswitch-accessibility,false,cs-question-live,QUESTION,300,360,5,,,,,,,,
synthetic-codeswitch-accessibility,false,cs-answer-live,ANSWER,360,420,6,,,,,,,,
synthetic-codeswitch-accessibility,false,cs-example-live,EXAMPLE,420,480,7,,,,,,,,
synthetic-codeswitch-accessibility,false,cs-topic-grounding,TOPIC_CHANGE,480,540,8,,,,,,,,
synthetic-codeswitch-accessibility,false,cs-important-transparency,IMPORTANT,720,780,12,,,,,,,,
