row_id,sample_id,language,provider,model,prediction_status,engineering_status,question_id,question,expected_case_type,category,model_supported,model_answer,used_evidence_ids,citations,citation_count,model_abstained,automated_expectation_match,reviewer_a_answer_correct,reviewer_a_answer_supported,reviewer_a_citation_correct,reviewer_a_unsupported_claim_present,reviewer_a_abstention_correct,reviewer_a_notes,reviewer_b_selected,reviewer_b_answer_correct,reviewer_b_answer_supported,reviewer_b_citation_correct,reviewer_b_unsupported_claim_present,reviewer_b_abstention_correct,reviewer_b_notes,adjudicated_result,human_verification_status
ask:synthetic-vi-regularization:vi-supported,synthetic-vi-regularization,vi,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,vi-supported,Dropout được dùng như thế nào khi huấn luyện?,SUPPORTED,supported,True,"Khi huấn luyện, kỹ thuật dropout được dùng bằng cách ngẫu nhiên tắt một phần neuron.","[""event:493f4261-800c-4ce8-a257-b75e863e663d""]","[{""evidence_id"":""event:493f4261-800c-4ce8-a257-b75e863e663d"",""backend_start_time"":180.0,""backend_end_time"":240.0,""source_event_ids"":[""493f4261-800c-4ce8-a257-b75e863e663d""],""source_segment_ids"":[3]}]",1,False,True,true,true,true,false,,,UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
ask:synthetic-vi-regularization:vi-paraphrase,synthetic-vi-regularization,vi,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,vi-paraphrase,Kỹ thuật nào giúp hạn chế việc mô hình học thuộc dữ liệu?,SUPPORTED,paraphrased,True,"Dựa trên nội dung bài giảng, các kỹ thuật giúp hạn chế việc mô hình học thuộc dữ liệu (overfitting) bao gồm regularization, kỹ thuật dropout (tắt ngẫu nhiên một phần neuron khi huấn luyện) và L2.","[""segment:0"",""event:493f4261-800c-4ce8-a257-b75e863e663d"",""event:9d928004-e6f9-4d10-a9ac-1dc42e2d1d64"",""segment:3""]","[{""evidence_id"":""segment:0"",""backend_start_time"":0.0,""backend_end_time"":60.0,""source_event_ids"":[],""source_segment_ids"":[0]},{""evidence_id"":""event:493f4261-800c-4ce8-a257-b75e863e663d"",""backend_start_time"":180.0,""backend_end_time"":240.0,""source_event_ids"":[""493f4261-800c-4ce8-a257-b75e863e663d""],""source_segment_ids"":[3]},{""evidence_id"":""event:9d928004-e6f9-4d10-a9ac-1dc42e2d1d64"",""backend_start_time"":780.0,""backend_end_time"":840.0,""source_event_ids"":[""9d928004-e6f9-4d10-a9ac-1dc42e2d1d64""],""source_segment_ids"":[13]},{""evidence_id"":""segment:3"",""backend_start_time"":180.0,""backend_end_time"":240.0,""source_event_ids"":[],""source_segment_ids"":[3]}]",4,False,True,true,true,false,false,,"The answer is supported by the lecture, but the cited lab-action event only lists L2 for comparison and does not directly support the claim that L2 limits overfitting; segment 9 or 12 would be the specific evidence.",UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
ask:synthetic-vi-regularization:vi-unsupported,synthetic-vi-regularization,vi,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,vi-unsupported,Ai phát minh dropout?,UNSUPPORTED,unsupported,False,Bài giảng hiện tại không có đủ bằng chứng để trả lời câu hỏi này.,[],[],0,True,True,,,,false,true,,UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
ask:synthetic-vi-regularization:vi-supported-l2,synthetic-vi-regularization,vi,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,vi-supported-l2,L2 thay đổi hàm mất mát ra sao?,SUPPORTED,supported,True,L2 regularization thay đổi hàm mất mát bằng cách thêm penalty theo bình phương trọng số vào hàm mất mát.,"[""event:869da234-687a-47cb-afa0-d5f227ff644f""]","[{""evidence_id"":""event:869da234-687a-47cb-afa0-d5f227ff644f"",""backend_start_time"":540.0,""backend_end_time"":600.0,""source_event_ids"":[""869da234-687a-47cb-afa0-d5f227ff644f""],""source_segment_ids"":[9]}]",1,False,True,true,true,true,false,,,UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
ask:synthetic-vi-regularization:vi-unsupported-weather,synthetic-vi-regularization,vi,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,vi-unsupported-weather,Ngày mai trời có mưa không?,UNSUPPORTED,unsupported,False,Bài giảng hiện tại không có đủ bằng chứng để trả lời câu hỏi này.,[],[],0,True,True,,,,false,true,,UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
ask:synthetic-en-transactions:en-supported,synthetic-en-transactions,en,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,en-supported,Why is a dirty read unsafe?,SUPPORTED,supported,True,"A dirty read is unsafe because the writer might roll back, which could cause the reader to make a decision using an uncommitted and invalid state that never becomes part of the committed state.","[""event:567b873d-7180-42d0-97bc-1ecac329d033""]","[{""evidence_id"":""event:567b873d-7180-42d0-97bc-1ecac329d033"",""backend_start_time"":420.0,""backend_end_time"":480.0,""source_event_ids"":[""567b873d-7180-42d0-97bc-1ecac329d033""],""source_segment_ids"":[7]}]",1,False,True,true,true,true,false,,,UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
ask:synthetic-en-transactions:en-paraphrase,synthetic-en-transactions,en,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,en-paraphrase,How can a reader observe a value that later disappears?,SUPPORTED,paraphrased,True,"A reader can observe a value that later disappears through a dirty read, where a reader reads an uncommitted value (such as an inventory service reading an uncommitted quantity) that never becomes committed state because the writer rolls back the update.","[""event:567b873d-7180-42d0-97bc-1ecac329d033"",""event:ffbffebd-0c90-4d90-8f6c-fdb3eaf1e9ae""]","[{""evidence_id"":""event:567b873d-7180-42d0-97bc-1ecac329d033"",""backend_start_time"":420.0,""backend_end_time"":480.0,""source_event_ids"":[""567b873d-7180-42d0-97bc-1ecac329d033""],""source_segment_ids"":[7]},{""evidence_id"":""event:ffbffebd-0c90-4d90-8f6c-fdb3eaf1e9ae"",""backend_start_time"":480.0,""backend_end_time"":540.0,""source_event_ids"":[""ffbffebd-0c90-4d90-8f6c-fdb3eaf1e9ae""],""source_segment_ids"":[8]}]",2,False,True,true,true,true,false,,,UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
ask:synthetic-en-transactions:en-unsupported,synthetic-en-transactions,en,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,en-unsupported,Which database vendor invented serializable isolation?,UNSUPPORTED,unsupported,False,The current lecture does not contain enough evidence to answer this question.,[],[],0,True,True,,,,false,true,,UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
ask:synthetic-en-transactions:en-supported-atomicity,synthetic-en-transactions,en,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,en-supported-atomicity,What does atomicity mean here?,SUPPORTED,supported,True,Atomicity means the transaction is applied completely or not applied at all.,"[""segment:1""]","[{""evidence_id"":""segment:1"",""backend_start_time"":60.0,""backend_end_time"":120.0,""source_event_ids"":[],""source_segment_ids"":[1]}]",1,False,True,true,true,true,false,,,UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
ask:synthetic-en-transactions:en-unsupported-release,synthetic-en-transactions,en,gemini-openai-compatible,gemini-3.5-flash-lite,COMPLETE,PASS,en-unsupported-release,What is the latest PostgreSQL release?,UNSUPPORTED,unsupported,False,The current lecture does not contain enough evidence to answer this question.,[],[],0,True,True,,,,false,true,,UNUSED_SINGLE_REVIEWER,,,,,,,UNUSED_SINGLE_REVIEWER,HUMAN_VERIFIED
